Object,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,E-MaStar,E-MaStar,Conroy,Conroy
,MPL7,MPL7,MPL9,MPL9,MPL11,MPL11,,,,
,Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H]
NGC0104_2015-01-30,5.196e+00 $\pm$ 1.204e+00,-7.617e-01 $\pm$ 3.583e-02,6.003e+00 $\pm$ 2.816e+00,-1.006e+00 $\pm$ 1.841e-01,8.993e+00 $\pm$ 0.000e+00,-1.006e+00 $\pm$ 0.000e+00,3.003e+00 $\pm$ 1.075e+00,-9.742e-01 $\pm$ 6.606e-01,1.198e+01 $\pm$ 0.000e+00,-6.773e-01 $\pm$ 0.000e+00
NGC0121_2015-08-11,1.298e+01 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,9.296e+00 $\pm$ 0.000e+00,-1.499e+00 $\pm$ 0.000e+00,8.776e+00 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,1.294e+01 $\pm$ 0.000e+00,-1.616e+00 $\pm$ 1.594e-01,8.980e+00 $\pm$ 0.000e+00,-7.594e-01 $\pm$ 0.000e+00
NGC0330_2015-11-02,9.815e-01 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,2.484e-02 $\pm$ 0.000e+00,-7.090e-01 $\pm$ 0.000e+00,2.848e-01 $\pm$ 0.000e+00,-9.742e-01 $\pm$ 0.000e+00,9.815e-01 $\pm$ 0.000e+00,-1.006e+00 $\pm$ 1.560e-01,2.060e+00 $\pm$ 7.600e-01,-1.303e+00 $\pm$ 0.000e+00
NGC0361_2015-11-02,8.722e+00 $\pm$ 4.257e+00,-8.437e-01 $\pm$ 9.313e-01,1.298e+01 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,9.513e+00 $\pm$ 3.379e+00,-1.499e+00 $\pm$ 2.317e-01,9.711e+00 $\pm$ 3.139e+00,-1.006e+00 $\pm$ 7.691e-01,1.298e+01 $\pm$ 2.800e-01,-1.405e+00 $\pm$ 6.120e-02
NGC0362_2015-01-30,9.840e+00 $\pm$ 1.892e+00,-1.332e+00 $\pm$ 3.577e-01,1.077e+01 $\pm$ 4.202e+00,-1.616e+00 $\pm$ 3.480e-01,8.993e+00 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,1.246e+01 $\pm$ 4.730e+00,-1.006e+00 $\pm$ 2.056e-01,9.260e+00 $\pm$ 2.440e+00,-1.221e+00 $\pm$ 2.277e-01
NGC0416_2015-08-08,1.268e+01 $\pm$ 0.000e+00,-1.211e+00 $\pm$ 0.000e+00,1.055e+01 $\pm$ 1.690e+00,-1.408e+00 $\pm$ 7.564e-02,6.870e+00 $\pm$ 4.332e-02,-1.775e+00 $\pm$ 0.000e+00,8.722e+00 $\pm$ 1.763e+00,-1.775e+00 $\pm$ 5.635e-01,1.034e+01 $\pm$ 0.000e+00,-1.260e+00 $\pm$ 0.000e+00
NGC0419_2015-12-18,5.945e-01 $\pm$ 9.890e-01,-9.742e-01 $\pm$ 4.508e-01,6.314e-01 $\pm$ 3.033e+00,-9.448e-01 $\pm$ 2.358e-01,5.880e-01 $\pm$ 0.000e+00,-7.090e-01 $\pm$ 3.887e-01,7.235e-01 $\pm$ 0.000e+00,-4.451e-02 $\pm$ 0.000e+00,5.500e+00 $\pm$ 0.000e+00,-5.566e-01 $\pm$ 0.000e+00
NGC1261_2015-08-08,7.733e+00 $\pm$ 1.118e+00,-1.775e+00 $\pm$ 1.594e-01,8.993e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,8.083e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,7.905e+00 $\pm$ 1.763e+00,-1.775e+00 $\pm$ 0.000e+00,1.246e+01 $\pm$ 2.000e+00,-1.093e+00 $\pm$ 4.657e-01
NGC1783_2016-04-02,7.235e-01 $\pm$ 0.000e+00,-3.780e-01 $\pm$ 2.256e-02,1.974e+00 $\pm$ 0.000e+00,-9.742e-01 $\pm$ 0.000e+00,7.180e-01 $\pm$ 0.000e+00,-9.448e-01 $\pm$ 0.000e+00,8.525e-01 $\pm$ 0.000e+00,-9.172e-01 $\pm$ 2.401e-01,2.500e+00 $\pm$ 0.000e+00,-5.817e-01 $\pm$ 0.000e+00
NGC1786_2016-10-03,7.088e+00 $\pm$ 8.600e-01,-2.029e+00 $\pm$ 0.000e+00,7.000e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,7.000e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,6.658e+00 $\pm$ 3.010e-01,-2.029e+00 $\pm$ 0.000e+00,6.140e+00 $\pm$ 0.000e+00,1.993e-01 $\pm$ 0.000e+00
NGC1846_2016-04-02,1.412e+00 $\pm$ 4.300e-01,-6.620e-01 $\pm$ 1.597e-01,3.534e+00 $\pm$ 1.690e+00,-1.006e+00 $\pm$ 3.725e-01,9.779e-01 $\pm$ 9.098e-01,-6.928e-01 $\pm$ 4.294e-01,2.014e+00 $\pm$ 2.666e+00,-4.018e-01 $\pm$ 5.154e-01,2.980e+00 $\pm$ 1.200e-01,-5.033e-01 $\pm$ 1.410e-02
NGC1850_2016-04-01,1.645e-01 $\pm$ 0.000e+00,1.712e-01 $\pm$ 0.000e+00,8.386e+00 $\pm$ 4.809e+00,-1.499e+00 $\pm$ 5.545e-01,2.484e-02 $\pm$ 0.000e+00,-2.014e-02 $\pm$ 0.000e+00,2.935e-01 $\pm$ 1.290e-01,-4.451e-02 $\pm$ 1.287e+00,2.020e+00 $\pm$ 0.000e+00,-5.817e-01 $\pm$ 0.000e+00
NGC1851_2015-01-31,1.070e+01 $\pm$ 2.709e+00,-1.332e+00 $\pm$ 3.261e-01,8.689e+00 $\pm$ 6.065e-01,-1.211e+00 $\pm$ 2.878e-01,8.299e+00 $\pm$ 6.065e-01,-7.090e-01 $\pm$ 7.178e-02,6.830e+00 $\pm$ 4.859e+00,-1.332e+00 $\pm$ 3.261e-01,1.062e+01 $\pm$ 0.000e+00,-1.221e+00 $\pm$ 0.000e+00
NGC1856_2016-04-02,1.645e-01 $\pm$ 0.000e+00,-4.270e-01 $\pm$ 0.000e+00,1.981e-01 $\pm$ 0.000e+00,-6.928e-01 $\pm$ 0.000e+00,4.581e-01 $\pm$ 0.000e+00,-1.825e-01 $\pm$ 0.000e+00,2.505e-01 $\pm$ 0.000e+00,-2.693e-01 $\pm$ 0.000e+00,1.298e+01 $\pm$ 0.000e+00,-5.817e-01 $\pm$ 0.000e+00
NGC1866_2016-04-02,2.505e-01 $\pm$ 4.300e-02,-8.007e-01 $\pm$ 3.470e-01,2.848e-01 $\pm$ 0.000e+00,-6.196e-01 $\pm$ 0.000e+00,1.981e-01 $\pm$ 0.000e+00,1.247e-02 $\pm$ 0.000e+00,4.465e+00 $\pm$ 1.892e+00,-1.493e-01 $\pm$ 1.140e-01,1.298e+01 $\pm$ 0.000e+00,-7.343e-01 $\pm$ 0.000e+00
NGC1868_2016-10-03,8.095e-01 $\pm$ 0.000e+00,-1.006e+00 $\pm$ 0.000e+00,5.880e-01 $\pm$ 0.000e+00,-1.268e+00 $\pm$ 0.000e+00,5.880e-01 $\pm$ 0.000e+00,-6.333e-01 $\pm$ 0.000e+00,7.665e-01 $\pm$ 0.000e+00,-9.172e-01 $\pm$ 0.000e+00,7.260e+00 $\pm$ 0.000e+00,-6.667e-01 $\pm$ 0.000e+00
NGC1898_2016-10-03,1.186e+01 $\pm$ 2.236e+00,-7.808e-01 $\pm$ 1.188e-01,3.881e+00 $\pm$ 7.062e+00,-1.332e+00 $\pm$ 6.974e-01,3.924e+00 $\pm$ 4.332e-02,-1.077e+00 $\pm$ 2.551e-01,1.298e+01 $\pm$ 6.192e+00,-1.775e+00 $\pm$ 2.757e-01,1.054e+01 $\pm$ 0.000e+00,-1.303e+00 $\pm$ 0.000e+00
NGC1904_2015-01-30,1.023e+01 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,8.993e+00 $\pm$ 3.466e-01,-2.029e+00 $\pm$ 0.000e+00,1.259e+01 $\pm$ 0.000e+00,-1.268e+00 $\pm$ 0.000e+00,1.001e+01 $\pm$ 1.935e+00,-1.211e+00 $\pm$ 8.178e-01,8.860e+00 $\pm$ 0.000e+00,-1.405e+00 $\pm$ 0.000e+00
NGC1916_2015-12-18,9.815e-01 $\pm$ 9.460e-01,-1.616e+00 $\pm$ 5.757e-01,5.014e-01 $\pm$ 0.000e+00,-1.162e+00 $\pm$ 0.000e+00,1.584e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,1.670e+00 $\pm$ 0.000e+00,-1.040e+00 $\pm$ 0.000e+00,5.540e+00 $\pm$ 0.000e+00,-1.303e+00 $\pm$ 0.000e+00
NGC1978_2016-10-03,2.014e+00 $\pm$ 2.924e+00,-6.474e-01 $\pm$ 2.194e-01,3.187e+00 $\pm$ 7.365e-01,-1.006e+00 $\pm$ 8.860e-02,2.884e+00 $\pm$ 8.665e-01,-7.808e-01 $\pm$ 8.802e-02,2.659e+00 $\pm$ 7.310e-01,-7.808e-01 $\pm$ 1.037e-01,4.780e+00 $\pm$ 0.000e+00,-5.817e-01 $\pm$ 0.000e+00
NGC2004_2016-09-30,3.734e+00 $\pm$ 3.483e+00,-1.585e-01 $\pm$ 1.053e+00,1.981e-01 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,1.981e-01 $\pm$ 0.000e+00,-1.268e+00 $\pm$ 0.000e+00,2.935e-01 $\pm$ 0.000e+00,-1.211e+00 $\pm$ 0.000e+00,1.286e+01 $\pm$ 4.160e+00,-4.689e-01 $\pm$ 9.969e-01
NGC2019_2016-09-30,1.263e+01 $\pm$ 4.300e-02,-1.775e+00 $\pm$ 0.000e+00,5.743e+00 $\pm$ 7.798e-01,-1.775e+00 $\pm$ 1.594e-01,8.603e+00 $\pm$ 3.076e+00,-1.616e+00 $\pm$ 0.000e+00,9.969e+00 $\pm$ 1.032e+00,-2.029e+00 $\pm$ 5.301e-01,7.900e+00 $\pm$ 3.600e-01,-1.405e+00 $\pm$ 0.000e+00
