ID [Fe/H]zw [Fe/H]cg rGC (F555W)TO ±σ (F555W)HB ±σ delF555WTO−HB ±σ Age1 error1 Age2 error2
NGC0104 -0.71 -0.78 7.4 17.65 0.08 14.10 0.03 3.55 0.08 1.00 0.10 1.02 0.10
NGC0288 -1.40 -1.14 12.0 18.92 0.04 15.48 0.03 3.45 0.05 0.94 0.05 0.92 0.05
NGC0362 -1.33 -1.09 9.3 18.84 0.09 15.57 0.03 3.27 0.09 0.76 0.08 0.76 0.07
NGC1261 -1.32 -1.08 18.2 19.98 0.06 16.74 0.03 3.24 0.07 0.74 0.05 0.74 0.05
NGC1851 -1.23 -1.03 16.7 19.58 0.07 16.23 0.03 3.35 0.07 0.81 0.07 0.82 0.07
NGC1904 -1.67 -1.37 18.8 19.62 0.09 16.25 0.03 3.37 0.10 0.91 0.09 0.88 0.09
NGC2808 -1.36 -1.11 11.0 19.61 0.07 16.36 0.03 3.25 0.07 0.75 0.06 0.74 0.05
NGC3201 -1.53 -1.24 9.0 18.11 0.05 14.83 0.03 3.28 0.06 0.80 0.05 0.77 0.05
NGC4590 -2.11 -2.00 10.1 19.05 0.07 15.74 0.03 3.31 0.07 0.93 0.07 0.94 0.07
NGC5053 -2.10 -1.98 16.8 20.00 0.06 16.64 0.03 3.37 0.07 0.99 0.05 1.01 0.05
NGC5272 -1.66 -1.34 12.2 19.00 0.04 15.76 0.03 3.24 0.05 0.80 0.04 0.76 0.04
NGC5466 -2.22 -2.20 16.2 19.89 0.07 16.50 0.03 3.39 0.07 1.01 0.06 1.03 0.06
NGC5897 -1.93 -1.73 7.3 19.77 0.07 16.32 0.03 3.46 0.08 1.04 0.07 1.04 0.07
NGC5904 -1.38 -1.12 6.2 18.47 0.03 15.12 0.03 3.34 0.04 0.83 0.04 0.81 0.04
NGC6093 -1.75 -1.47 3.8 19.77 0.07 16.35 0.03 3.42 0.08 0.97 0.07 0.95 0.08
NGC6121 -1.27 -1.05 5.9 16.87 0.03 13.43 0.03 3.44 0.04 0.91 0.04 0.91 0.04
NGC6171 -1.09 -0.95 3.3 19.17 0.06 15.68 0.03 3.48 0.07 0.93 0.07 0.95 0.07
NGC6205 -1.63 -1.33 8.7 18.53 0.06 15.01 0.03 3.52 0.07 1.05 0.07 1.02 0.07
NGC6218 -1.40 -1.14 4.5 18.31 0.07 14.84 0.05 3.48 0.09 0.97 0.08 0.95 0.09
NGC6254 -1.55 -1.25 4.6 18.48 0.05 15.11 0.05 3.37 0.07 0.89 0.06 0.86 0.07
NGC6341 -2.24 -2.16 9.6 18.64 0.06 15.18 0.03 3.47 0.07 1.08 0.06 1.10 0.06
NGC6362 -1.18 -0.99 5.3 18.86 0.08 15.43 0.03 3.43 0.08 0.88 0.09 0.89 0.09
NGC6366 -0.58 -0.73 5.0 19.14 0.06 15.70 0.03 3.44 0.07 0.89 0.07 0.90 0.07
NGC6397 -1.94 -1.76 6.0 16.44 0.04 13.03 0.03 3.41 0.05 1.00 0.03 0.99 0.05
NGC6681 -1.64 -1.35 2.1 19.21 0.09 15.82 0.05 3.39 0.10 0.92 0.10 0.90 0.10
NGC6723 -1.12 -0.96 2.6 19.07 0.09 15.53 0.03 3.54 0.09 0.99 0.10 1.01 0.10
NGC6752 -1.54 -1.24 5.2 17.45 0.08 13.91 0.05 3.53 0.09 1.05 0.10 1.03 0.10
NGC6809 -1.80 -1.54 3.9 17.93 0.12 14.44 0.03 3.49 0.12 1.05 0.12 1.04 0.13
NGC6838 -0.58 -0.73 6.7 18.01 0.06 14.52 0.03 3.49 0.07 0.95 0.08 0.95 0.08
NGC7078 -2.13 -2.02 10.4 19.24 0.06 15.89 0.03 3.35 0.07 0.97 0.06 0.98 0.06
