Object,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,E-MaStar,E-MaStar,Conroy,Conroy
,MPL7,MPL7,MPL9,MPL9,MPL11,MPL11,,,,
,Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H],Age (Gyr),[Z/H]
NGC0104(2015-01-30),5.2 $\pm$ 0.25,-0.762 $\pm$ 0.036,6.0 $\pm$ 2.82,-1.01 $\pm$ 0.188,8.99 $\pm$ 0,-1.01 $\pm$ 0,3.0 $\pm$ 0.26,-0.974 $\pm$ 0.66,12.0 $\pm$ 0,-0.677 $\pm$ 0
NGC0121(2015-08-11),13.0 $\pm$ 0,-1.33 $\pm$ 0,9.3 $\pm$ 0,-1.5 $\pm$ 0,8.78 $\pm$ 0,-1.33 $\pm$ 0,12.9 $\pm$ 0,-1.62 $\pm$ 0,8.98 $\pm$ 0,-0.759 $\pm$ 0
NGC0330(2015-11-02),0.982 $\pm$ 0,-1.77 $\pm$ 0,0.0248 $\pm$ 0,-0.709 $\pm$ 0,0.285 $\pm$ 0,-0.974 $\pm$ 0,0.982 $\pm$ 0,-1.01 $\pm$ 0,2.06 $\pm$ 0.76,-1.3 $\pm$ 0
NGC0361(2015-11-02),8.72 $\pm$ 4.28,-0.844 $\pm$ 0.182,13.0 $\pm$ 0,-1.77 $\pm$ 0,9.51 $\pm$ 3.39,-1.5 $\pm$ 0.23,9.71 $\pm$ 3.09,-1.01 $\pm$ 0.301,13.0 $\pm$ 0,-1.4 $\pm$ 0
NGC0362(2015-01-30),9.84 $\pm$ 0.96,-1.33 $\pm$ 0.356,10.8 $\pm$ 2.1,-1.62 $\pm$ 0.35,8.99 $\pm$ 0,-1.33 $\pm$ 0,12.5 $\pm$ 0,-1.01 $\pm$ 0.065,9.26 $\pm$ 0,-1.22 $\pm$ 0.227
NGC0416(2015-08-08),12.7 $\pm$ 0,-1.21 $\pm$ 0,10.6 $\pm$ 0,-1.41 $\pm$ 0.08,6.87 $\pm$ 0,-1.77 $\pm$ 0,8.72 $\pm$ 0,-1.77 $\pm$ 0.56,10.3 $\pm$ 0,-1.26 $\pm$ 0
NGC0419(2015-12-18),0.595 $\pm$ 0.985,-0.974 $\pm$ 0.451,0.631 $\pm$ 3.03,-0.945 $\pm$ 0.236,0.588 $\pm$ 0,-0.709 $\pm$ 0.389,0.724 $\pm$ 0,-0.0445 $\pm$ 0,5.5 $\pm$ 0,-0.557 $\pm$ 0
NGC1261(2015-08-08),7.73 $\pm$ 1.12,-1.77 $\pm$ 0.15,8.99 $\pm$ 0,-1.77 $\pm$ 0,8.08 $\pm$ 0,-1.77 $\pm$ 0,7.9 $\pm$ 0,-1.77 $\pm$ 0,12.5 $\pm$ 0,-1.09 $\pm$ 0.463
NGC1783(2016-04-02),0.724 $\pm$ 0,-0.378 $\pm$ 0.023,1.97 $\pm$ 0,-0.974 $\pm$ 0,0.718 $\pm$ 0,-0.945 $\pm$ 0,0.853 $\pm$ 0,-0.917 $\pm$ 0.24,2.5 $\pm$ 0,-0.582 $\pm$ 0
NGC1786(2016-10-03),7.09 $\pm$ 0,-2.03 $\pm$ 0,7.0 $\pm$ 0,-2.03 $\pm$ 0,7.0 $\pm$ 0,-2.03 $\pm$ 0,6.66 $\pm$ 0,-2.03 $\pm$ 0,6.14 $\pm$ 0,0.199 $\pm$ 0
NGC1846(2016-04-02),1.41 $\pm$ 0.43,-0.662 $\pm$ 0.16,3.53 $\pm$ 1.69,-1.01 $\pm$ 0.377,0.978 $\pm$ 0.912,-0.693 $\pm$ 0.43,2.01 $\pm$ 2.67,-0.402 $\pm$ 0,2.98 $\pm$ 0.12,-0.503 $\pm$ 0.014
NGC1850(2016-04-01),0.165 $\pm$ 0,0.171 $\pm$ 0,8.39 $\pm$ 1.91,-1.5 $\pm$ 0.555,0.0248 $\pm$ 0,-0.0201 $\pm$ 0,0.294 $\pm$ 0.129,-0.0445 $\pm$ 0,2.02 $\pm$ 0,-0.582 $\pm$ 0
NGC1851(2015-01-31),10.7 $\pm$ 2.3,-1.33 $\pm$ 0.32,8.69 $\pm$ 0,-1.21 $\pm$ 0,8.3 $\pm$ 0,-0.709 $\pm$ 0,6.83 $\pm$ 4.87,-1.33 $\pm$ 0.32,10.6 $\pm$ 0,-1.22 $\pm$ 0
NGC1856(2016-04-02),0.165 $\pm$ 0,-0.427 $\pm$ 0,0.198 $\pm$ 0,-0.693 $\pm$ 0,0.458 $\pm$ 0,-0.182 $\pm$ 0,0.251 $\pm$ 0,-0.269 $\pm$ 0,13.0 $\pm$ 0,-0.582 $\pm$ 0
NGC1866(2016-04-02),0.251 $\pm$ 0,-0.801 $\pm$ 0.347,0.285 $\pm$ 0,-0.62 $\pm$ 0,0.198 $\pm$ 0,0.0125 $\pm$ 0,4.46 $\pm$ 1.9,-0.149 $\pm$ 0,13.0 $\pm$ 0,-0.734 $\pm$ 0
NGC1868(2016-10-03),0.81 $\pm$ 0,-1.01 $\pm$ 0,0.588 $\pm$ 0,-1.27 $\pm$ 0,0.588 $\pm$ 0,-0.633 $\pm$ 0,0.767 $\pm$ 0,-0.917 $\pm$ 0,7.26 $\pm$ 0,-0.667 $\pm$ 0
NGC1898(2016-10-03),11.9 $\pm$ 0,-0.781 $\pm$ 0.119,3.88 $\pm$ 7.02,-1.33 $\pm$ 0,3.92 $\pm$ 0.05,-1.08 $\pm$ 0,13.0 $\pm$ 0,-1.77 $\pm$ 0.27,10.5 $\pm$ 0,-1.3 $\pm$ 0
NGC1904(2015-01-30),10.2 $\pm$ 0,-2.03 $\pm$ 0,8.99 $\pm$ 0.35,-2.03 $\pm$ 0,12.6 $\pm$ 0,-1.27 $\pm$ 0,10.0 $\pm$ 1.0,-1.21 $\pm$ 0.05,8.86 $\pm$ 0,-1.4 $\pm$ 0
NGC1916(2015-12-18),0.982 $\pm$ 0.948,-1.62 $\pm$ 0.58,0.501 $\pm$ 0,-1.16 $\pm$ 0,1.58 $\pm$ 0,-1.77 $\pm$ 0,1.67 $\pm$ 0,-1.04 $\pm$ 0,5.54 $\pm$ 0,-1.3 $\pm$ 0
NGC1978(2016-10-03),2.01 $\pm$ 2.93,-0.647 $\pm$ 0.145,3.19 $\pm$ 0.73,-1.01 $\pm$ 0.093,2.88 $\pm$ 0,-0.781 $\pm$ 0.088,2.66 $\pm$ 0.26,-0.781 $\pm$ 0.104,4.78 $\pm$ 0,-0.582 $\pm$ 0
NGC2004(2016-09-30),3.73 $\pm$ 0,-0.159 $\pm$ 0,0.198 $\pm$ 0,-1.33 $\pm$ 0,0.198 $\pm$ 0,-1.27 $\pm$ 0,0.294 $\pm$ 0,-1.21 $\pm$ 0,12.9 $\pm$ 0,-0.469 $\pm$ 0.05
NGC2019(2016-09-30),12.6 $\pm$ 0.1,-1.77 $\pm$ 0,5.74 $\pm$ 0.78,-1.77 $\pm$ 0.15,8.6 $\pm$ 3.1,-1.62 $\pm$ 0,9.97 $\pm$ 1.03,-2.03 $\pm$ 0.53,7.9 $\pm$ 0,-1.4 $\pm$ 0
NGC2100(2015-12-17),9.07 $\pm$ 0,-0.145 $\pm$ 0.118,0.0248 $\pm$ 0,0.184 $\pm$ 0,0.0248 $\pm$ 0.26,0.153 $\pm$ 0.025,0.853 $\pm$ 0.727,-1.41 $\pm$ 0,1.02 $\pm$ 5.12,-1.04 $\pm$ 0.145
NGC2136(2016-10-03),0.122 $\pm$ 0,-0.288 $\pm$ 0,0.198 $\pm$ 0,-0.762 $\pm$ 0,0.978 $\pm$ 0,-1.5 $\pm$ 0,0.982 $\pm$ 0,-0.348 $\pm$ 0.212,2.42 $\pm$ 0,-0.993 $\pm$ 0
NGC2808(2015-01-31),6.01 $\pm$ 0.78,-0.917 $\pm$ 0,8.99 $\pm$ 0,-1.77 $\pm$ 0,7.13 $\pm$ 0,-1.01 $\pm$ 0,12.0 $\pm$ 0,-0.781 $\pm$ 0.119,7.1 $\pm$ 0,-0.993 $\pm$ 0
NGC3201(2015-04-15),12.8 $\pm$ 0,-1.77 $\pm$ 0.15,6.74 $\pm$ 0,-1.77 $\pm$ 0,8.99 $\pm$ 0.48,-1.62 $\pm$ 0.12,7.73 $\pm$ 4.77,-1.77 $\pm$ 0,6.78 $\pm$ 0,-1.3 $\pm$ 0
NGC4147(2015-01-30),4.94 $\pm$ 0,-1.77 $\pm$ 0,4.96 $\pm$ 0,-2.03 $\pm$ 0,4.96 $\pm$ 0.52,-2.03 $\pm$ 0,1.93 $\pm$ 0,-1.5 $\pm$ 0.34,4.18 $\pm$ 0,0.199 $\pm$ 0
NGC4590(2015-04-13),5.93 $\pm$ 0.04,-2.03 $\pm$ 0,5.01 $\pm$ 0,-2.03 $\pm$ 0,7.0 $\pm$ 0,-2.03 $\pm$ 0,1.93 $\pm$ 0,-2.03 $\pm$ 0,2.98 $\pm$ 0,-1.47 $\pm$ 0
NGC4833(2015-01-30),4.94 $\pm$ 0,-1.77 $\pm$ 0,4.4 $\pm$ 0,-1.77 $\pm$ 0,4.01 $\pm$ 0,-1.77 $\pm$ 0,1.93 $\pm$ 0,-2.03 $\pm$ 0,3.62 $\pm$ 0,-1.4 $\pm$ 0
NGC5024(2015-01-30),7.78 $\pm$ 0,-2.03 $\pm$ 0,8.86 $\pm$ 0,-2.03 $\pm$ 0,8.08 $\pm$ 0,-2.03 $\pm$ 0,11.2 $\pm$ 0,-2.03 $\pm$ 0.87,6.86 $\pm$ 0,-1.47 $\pm$ 0
NGC5139(2015-04-13),9.75 $\pm$ 3.05,-2.03 $\pm$ 1.14,13.0 $\pm$ 0,-2.03 $\pm$ 0,8.13 $\pm$ 0,-2.03 $\pm$ 0,7.17 $\pm$ 0.65,-1.62 $\pm$ 0.12,10.8 $\pm$ 0,-1.22 $\pm$ 0
NGC5272(2016-04-02),7.9 $\pm$ 0,-1.77 $\pm$ 0.5,9.99 $\pm$ 0,-2.03 $\pm$ 0.41,8.69 $\pm$ 0,-1.77 $\pm$ 0,5.8 $\pm$ 0,-1.77 $\pm$ 0,12.7 $\pm$ 0,-1.3 $\pm$ 0
NGC5286(2015-04-14),7.13 $\pm$ 0,-1.77 $\pm$ 0.5,8.99 $\pm$ 3.81,-2.03 $\pm$ 0.41,6.78 $\pm$ 0.22,-1.77 $\pm$ 0,6.01 $\pm$ 0.95,-2.03 $\pm$ 0.41,6.14 $\pm$ 0,-0.573 $\pm$ 0
