Model,Literature data,Parameter,Sample size,Medium difference,Medium error,Standard deviation difference
Th-MaStar(MPL7),UsherGC,Age (log Gyr),81,-0.25,0.22,0.45
Th-MaStar(MPL7),UsherGC,[Z/H],81,0.07,0.06,0.38
Th-MaStar(MPL7),DeAngeli_GB,Age (log Gyr),23,-0.04,0.06,0.23
Th-MaStar(MPL7),DeAngeli_GB,[Z/H],23,-0.01,0.06,0.34
Th-MaStar(MPL7),DeAngeli_HST,Age (log Gyr),36,-0.05,0.1,0.26
Th-MaStar(MPL7),DeAngeli_HST,[Z/H],36,0.02,0.09,0.34
Th-MaStar(MPL9),UsherGC,Age (log Gyr),81,-0.21,0.31,0.48
Th-MaStar(MPL9),UsherGC,[Z/H],81,0.03,0.09,0.42
Th-MaStar(MPL9),DeAngeli_GB,Age (log Gyr),23,-0.05,0.12,0.28
Th-MaStar(MPL9),DeAngeli_GB,[Z/H],23,0.13,0.2,0.45
Th-MaStar(MPL9),DeAngeli_HST,Age (log Gyr),36,-0.1,0.23,0.49
Th-MaStar(MPL9),DeAngeli_HST,[Z/H],36,0.05,0.11,0.41
Th-MaStar(MPL11),UsherGC,Age (log Gyr),81,-0.22,0.29,0.45
Th-MaStar(MPL11),UsherGC,[Z/H],81,0.02,0.11,0.4
Th-MaStar(MPL11),DeAngeli_GB,Age (log Gyr),23,-0.06,0.19,0.58
Th-MaStar(MPL11),DeAngeli_GB,[Z/H],23,0.03,0.05,0.39
Th-MaStar(MPL11),DeAngeli_HST,Age (log Gyr),36,-0.07,0.12,0.24
Th-MaStar(MPL11),DeAngeli_HST,[Z/H],36,0.05,0.14,0.39
E-MaStar(MPL7),UsherGC,Age (log Gyr),81,-0.27,0.25,0.49
E-MaStar(MPL7),UsherGC,[Z/H],81,-0.01,0.09,0.55
E-MaStar(MPL7),DeAngeli_GB,Age (log Gyr),23,-0.08,0.18,0.33
E-MaStar(MPL7),DeAngeli_GB,[Z/H],23,-0.1,0.05,0.36
E-MaStar(MPL7),DeAngeli_HST,Age (log Gyr),36,-0.07,0.21,0.35
E-MaStar(MPL7),DeAngeli_HST,[Z/H],36,-0.0,0.11,0.62
E-Conroy,UsherGC,Age (log Gyr),81,-0.19,0.1,0.66
E-Conroy,UsherGC,[Z/H],81,0.16,0.28,0.55
E-Conroy,DeAngeli_GB,Age (log Gyr),23,0.01,0.09,0.35
E-Conroy,DeAngeli_GB,[Z/H],23,0.2,0.23,0.23
E-Conroy,DeAngeli_HST,Age (log Gyr),36,-0.01,0.15,0.38
E-Conroy,DeAngeli_HST,[Z/H],36,0.26,0.43,0.52
