ID [Fe/H]zw [Fe/H]cg [Fe/H]err rGC (F555W)TO ±σ (F555W)HB ±σ delF555WTO−HB ±σ Age1 error1 Age2 error2
NGC0104 -0.71 -0.78 0.08 7.4 17.63 0.06 14.10 0.03 3.53 0.06 0.97 0.07 0.99 0.07
NGC0362 -1.33 -1.09 0.07 9.3 18.75 0.07 15.50 0.03 3.25 0.08 0.74 0.06 0.74 0.06
NGC1261 -1.32 -1.08 0.09 18.2 20.11 0.05 16.85 0.03 3.26 0.06 0.75 0.05 0.75 0.05
NGC1851 -1.23 -1.03 0.09 16.7 19.49 0.03 16.15 0.03 3.34 0.05 0.80 0.05 0.81 0.04
NGC1904 -1.67 -1.37 0.09 18.8 19.61 0.08 16.25 0.03 3.36 0.09 0.90 0.08 0.87 0.08
NGC2808 -1.36 -1.11 0.09 11.0 19.63 0.09 16.35 0.03 3.28 0.10 0.77 0.08 0.76 0.08
NGC3201 -1.53 -1.24 0.12 9.0 18.08 0.04 14.85 0.03 3.23 0.05 0.77 0.04 0.73 0.04
NGC4147 -1.77 -1.50 0.26 21.3 20.46 0.09 16.98 0.03 3.48 0.09 1.03 0.08 1.01 0.09
NGC4372 -2.03 -1.88 0.15 7.1 18.94 0.05 15.58 0.03 3.36 0.06 0.98 0.05 0.98 0.05
NGC4590 -2.11 -2.00 0.11 10.1 19.04 0.06 15.73 0.03 3.31 0.07 0.92 0.06 0.93 0.06
NGC4833 -1.92 -1.71 0.09 6.9 19.14 0.05 15.70 0.03 3.44 0.06 1.01 0.05 1.00 0.06
NGC5024 -2.04 -1.86 0.08 18.8 20.27 0.08 16.83 0.03 3.44 0.08 1.02 0.07 1.03 0.07
NGC5694 -1.93 -1.74 0.15 29.1 22.01 0.08 18.53 0.03 3.48 0.08 1.05 0.07 1.05 0.07
NGC5824 -1.85 -1.60 0.15 25.8 21.98 0.03 18.53 0.03 3.45 0.04 1.01 0.04 1.00 0.04
NGC5904 -1.38 -1.12 0.06 6.2 18.49 0.07 15.15 0.03 3.34 0.08 0.83 0.07 0.81 0.07
NGC5927 -0.32 -0.64 0.09 4.5 20.25 0.05 16.79 0.03 3.46 0.06 0.94 0.06 0.92 0.06
NGC5946 -1.39 -1.22 0.15 7.4 21.01 0.15 17.60 0.03 3.41 0.15 0.90 0.14 0.89 0.15
NGC5986 -1.65 -1.35 0.10 4.8 20.08 0.05 16.70 0.03 3.38 0.06 0.91 0.05 0.88 0.06
NGC6171 -1.09 -0.95 0.06 3.3 19.23 0.07 15.70 0.03 3.53 0.07 0.98 0.07 0.99 0.08
NGC6218 -1.40 -1.14 0.12 4.5 18.25 0.07 14.80 0.03 3.45 0.08 0.94 0.08 0.92 0.08
NGC6235 -1.46 -1.18 0.15 2.9 20.41 0.14 17.00 0.03 3.41 0.15 0.91 0.14 0.89 0.15
NGC6266 -1.23 -1.02 0.15 1.7 19.76 0.05 16.30 0.03 3.46 0.06 0.92 0.06 0.92 0.06
NGC6273 -1.80 -1.53 0.15 1.6 19.95 0.04 16.55 0.03 3.40 0.05 0.96 0.03 0.93 0.04
NGC6284 -1.24 -1.13 0.15 6.9 20.90 0.04 17.50 0.03 3.40 0.04 0.86 0.04 0.87 0.05
NGC6287 -2.07 -1.91 0.15 1.7 20.59 0.11 17.13 0.03 3.46 0.12 1.05 0.11 1.06 0.11
NGC6342 -0.66 -0.69 0.15 1.7 20.55 0.05 17.07 0.03 3.48 0.06 0.92 0.07 0.94 0.07
NGC6362 -1.18 -0.99 0.09 5.3 18.88 0.03 15.42 0.03 3.46 0.04 0.91 0.04 0.92 0.04
NGC6544 -1.48 -1.20 0.15 5.4 18.58 0.09 15.25 0.03 3.33 0.09 0.84 0.08 0.81 0.09
NGC6584 -1.51 -1.30 0.15 7.0 19.94 0.10 16.60 0.03 3.34 0.10 0.85 0.09 0.83 0.09
NGC6637 -0.72 -0.78 0.19 1.6 19.50 0.09 16.04 0.03 3.46 0.09 0.89 0.10 0.91 0.10
NGC6652 -0.99 -0.97 0.15 2.4 19.52 0.06 16.06 0.03 3.46 0.07 0.89 0.07 0.92 0.07
NGC6681 -1.64 -1.35 0.14 2.1 19.15 0.10 15.75 0.03 3.40 0.10 0.93 0.09 0.91 0.10
NGC6717 -1.33 -1.09 0.15 2.3 19.24 0.07 15.80 0.03 3.44 0.08 0.92 0.08 0.91 0.08
NGC6723 -1.12 -0.96 0.14 2.6 19.06 0.11 15.55 0.03 3.51 0.11 0.96 0.11 0.97 0.12
NGC6838 -0.58 -0.73 0.08 6.7 18.01 0.05 14.54 0.03 3.47 0.06 0.91 0.06 0.92 0.06
NGC6934 -1.54 -1.32 0.09 14.3 20.28 0.06 16.95 0.03 3.33 0.07 0.85 0.06 0.83 0.06
NGC6981 -1.50 -1.21 0.09 12.9 20.22 0.08 16.90 0.03 3.32 0.08 0.83 0.07 0.80 0.08
NGC7078 -2.13 -2.02 0.08 10.4 19.21 0.09 15.88 0.04 3.33 0.10 0.94 0.08 0.95 0.08
NGC7089 -1.61 -1.31 0.07 10.4 19.44 0.10 16.03 0.03 3.41 0.11 0.94 0.10 0.91 0.11
NGC7099 -2.05 -1.92 0.13 7.1 18.73 0.05 15.23 0.03 3.50 0.05 1.08 0.06 1.10 0.06
