ID Galaxy RA Dec r rgc [Fe/H] Age Rc Rh µV0 AV GCMass FoVMass [Fe/H]Source AgeSource StructualSource
NGC0104 MW 6.024 -72.081 4.5 7.4 -0.72 12.8 22 190 14.4 0.12 6.0 4.7 H Do10 H
NGC0121 SMC 6.701 -71.536 60.0 61.0 -1.28 10.5 10 19 18.3 0.45 5.6 5.2 Da16 Gl08a McL05
NGC0330 SMC 14.074 -72.463 60.0 61.0 -0.81 0.03 8 21 16.5 0.20 4.6 4.2 Hi99 Si02 McL05
NGC0361 SMC 15.542 -71.605 60.0 61.0 -1.16 6.8 24 39 20.2 0.21 5.3 4.5 Da98 Mi98 McL05
NGC0362 MW 15.809 -70.849 8.6 9.4 -1.26 11.5 11 49 14.8 0.15 5.6 4.9 H Do10 H
NGC0416 SMC 16.994 -72.355 60.0 61.0 -1.22 6.0 10 15 18.5 0.39 5.2 4.9 Gl09 Gl08b McL05
NGC0419 SMC 17.072 -72.883 60.0 61.0 -0.77 1.4 13 28 17.8 0.31 5.2 4.9 Gl09 Go14 Gl09
NGC1261 MW 48.068 -55.216 16.3 18.1 -1.27 11.5 21 41 17.7 0.03 5.3 4.4 H Do10 H
NGC1786 LMC 74.783 -67.745 50.1 50.0 -1.76 12.3 4 14 16.4 0.39 5.6 5.3 Mu10 Ge97 McL05
NGC1783 LMC 74.787 -65.987 50.1 50.0 -0.35 1.7 38 61 20.4 0.02 5.0 3.9 Mu08 Go14 Go06+11
NGC1846 LMC 76.891 -67.461 50.1 50.0 -0.50 1.7 26 34 19.6 0.08 4.9 4.1 Gr06 Go14 Go06+09
NGC1850 LMC 77.186 -68.762 50.1 50.0 -0.40 0.1 11 46 16.7 0.32 5.1 4.4 Ni15 Ni15 McL05
NGC1856 LMC 77.372 -69.128 50.1 50.0 -0.30 0.3 7 32 16.8 0.71 5.2 4.6 Ba13 Ba13 McL05
NGC1866 LMC 78.413 -65.466 50.1 50.0 -0.43 0.2 11 43 17.3 0.40 5.1 4.4 Mu11 Ba13 McL05
NGC1851 MW 78.528 -40.047 12.1 16.6 -1.18 11.0 5 31 14.2 0.06 5.6 5.0 H Mi14 H
NGC1868 LMC 78.651 -63.955 50.1 50.0 -0.39 1.1 6 14 17.8 0.41 4.6 4.3 Ol91 Ke07 McL05
NGC1898 LMC 79.177 -69.656 50.1 50.0 -1.23 11.8 9 26 18.6 0.26 5.4 4.9 Jo06 Ol98 McL05
NGC1916 LMC 79.652 -69.407 50.1 50.0 -1.48 12.9 3 8 15.3 0.58 5.8 5.6 Co11 Ma03 McL05
NGC1904 MW 81.046 -24.525 12.9 18.8 -1.60 13.0 10 39 16.0 0.03 5.4 4.6 H DeA05 H
